Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:25JNOXGpHw3E9wmLNmcarr,"LEFT TO RIGHT (Subsonic Remix)","LEFT TO RIGHT (Subsonic Remix)","Odd Mob;Subsonic",2023-03-03,179310,40,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T18:18:37Z,"tech house,bass house,drum and bass,bassline","Tinted Records",0.561,0.961,0,-1.988,1,0.104,0.122,0.959,0.416,0.417,174.011,4
spotify:track:507UUx311ghfFTMSuHUeyS,"Desire (Sub Focus & Dimension)","Desire (with Dimension) [Sub Focus & Dimension]","Sub Focus;Dimension",2018-09-14,215172,62,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T18:19:23Z,"drum and bass,liquid funk","EMI",0.537,0.906,8,-1.167,0,0.0651,0.133,0.0187,0.319,0.504,173.898,4
spotify:track:75xoQG7rwVC2xNGZOfg2mh,"Vibration (feat. AR/CO)","Evolve","Sub Focus;AR/CO",2023-05-12,242760,57,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T18:19:32Z,"drum and bass,liquid funk","EMI",0.538,0.968,0,-0.526,0,0.0375,0.298,0.0238,0.133,0.127,174.007,4
spotify:track:1j6lrR4BzRGKwvAPfrIcbf,"Invaders Must Die","Invaders Must Die","The Prodigy",2009-02-23,295026,58,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-28T05:16:16Z,"big beat,breakbeat,hardcore techno","Take Me To The Hospital",0.606,0.9,6,-5.168,1,0.0547,0.000508,0.901,0.112,0.115,140.035,4
spotify:track:4OYhOYnrwWDNlOByAdPAHM,"Warrior's Dance","Invaders Must Die","The Prodigy",2009-02-23,312960,59,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-28T05:17:02Z,"big beat,breakbeat,hardcore techno","Take Me To The Hospital",0.579,0.989,5,-5.035,0,0.135,0.0128,0.794,0.73,0.0759,137.015,4
spotify:track:0KCT63T5YEsW8pNnuhr9ZC,"Light Up the Sky","No Tourists","The Prodigy",2018-11-02,199715,48,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-28T05:17:46Z,"big beat,breakbeat,hardcore techno","Take Me To The Hospital",0.198,0.951,1,-5.786,1,0.122,0.00168,0.783,0.312,0.326,159.872,5
spotify:track:3uQ4QuEuqy47UW85DpkmCZ,"Baby's Got a Temper - Main Mix","Baby's Got a Temper","The Prodigy",2002-07-01,267000,46,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-28T05:18:05Z,"big beat,breakbeat,hardcore techno","XL Recordings",0.567,0.952,6,-5.634,1,0.0465,0.000495,0.0451,0.338,0.497,105.957,4
spotify:track:2JCfiNog8XQIOHFcxZoRo6,"Shut 'Em Up","The Day Is My Enemy (Expanded Edition)","The Prodigy;Manfred Mann;Public Enemy",2015-11-10,260000,49,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-28T05:18:22Z,"big beat,breakbeat,hardcore techno,old school hip hop,hip hop z východního pobřeží,hip hop,hardcore hip hop","Take Me To The Hospital",0.571,0.937,6,-2.995,1,0.0476,0.00253,0.00000413,0.539,0.319,199.942,4
spotify:track:6tMgq6dD4XithaNmcigrzS,"Nasty","The Day Is My Enemy (Expanded Edition)","The Prodigy",2015-11-10,243467,38,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-28T05:20:38Z,"big beat,breakbeat,hardcore techno","Take Me To The Hospital",0.126,0.903,11,-6.348,1,0.0918,0.0000729,0.00667,0.198,0.321,185.099,5
spotify:track:5aYrqHtWy7UJljAVq3LFwv,"Napalm","Napalm","Pendulum;Joey Valence & Brae",2024-08-21,204214,52,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-28T05:22:39Z,"drum and bass,dubstep","Mushroom Music/Virgin Music Group",0.537,0.842,6,-5.521,0,0.0628,0.000141,0.023,0.363,0.427,174.118,4
spotify:track:3Q30QundzRyAG6x19JVYtA,"Hold Your Colour","Hold Your Colour","Pendulum",2007-05-19,328480,56,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-28T05:22:56Z,"drum and bass,dubstep","Breakbeat Kaos",0.43,0.889,5,-4.821,0,0.0374,0.00142,0.224,0.397,0.181,173.962,4
spotify:track:16akrYX3LKYx7b9aPGDiMd,"Nothing For Free","Elemental","Pendulum",2021-06-17,183765,45,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-28T05:23:11Z,"drum and bass,dubstep","Liberator Music",0.469,0.92,3,-4.759,0,0.0385,0.00555,0.00317,0.0862,0.787,160.071,4
spotify:track:6hzwfFKrTabeUsW5SWti17,"Crush","Immersion","Pendulum",2010-05-21,253706,57,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-28T05:23:24Z,"drum and bass,dubstep","WM UK",0.418,0.906,2,-3.754,1,0.0368,0.0000134,0.0216,0.164,0.164,173.998,4
spotify:track:3aiycOKS6P30BnR7dUfrnA,"Granite","In Silico","Pendulum",2008-05-09,283466,47,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-28T05:23:34Z,"drum and bass,dubstep","WM UK",0.392,0.925,6,-6.349,1,0.0462,0.0000135,0.703,0.356,0.2,174.089,4
spotify:track:7eHvmbbmUKT1AYtPmzr7Ww,"Mercy Killing","Mercy Killing","Pendulum;Scarlxrd",2023-11-01,229083,41,true,0bnjquo5jylyfdzak3bkvpeht,2025-01-28T05:24:46Z,"drum and bass,dubstep,trap metal,rap metal,horrorcore,emo rap","Liberator Music / Virgin Music Group",0.412,0.927,1,-5.745,1,0.0827,0.000199,0.00000456,0.59,0.16,183.941,4
